Country Name	Series Name	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Afghanistan	Time required to enforce a contract (days)	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642	1642
Afghanistan	Time required to register property (days)	252	252	250	250	250	250	250	250	250	250	250
Afghanistan	Time required to start a business (days)	9	9	9	9	7	7	7	7	5	7	7
Afghanistan	Time to prepare and pay taxes (hours)	275	275	275	275	275	275	275	275	275	275	275
Afghanistan	Time to resolve insolvency (years)	..	..	..	..	..	..	..	..	..	2	2
Afghanistan	Total tax rate (% of profit)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Trade: Cost to export (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Trade: Cost to import (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Trade: Documents to export (number)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Trade: Documents to import (number)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Trade: Time to export (day)	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	Trade: Time to import (days)	..	..	..	..	..	..	..	..	..	..	..
Albania	Commencement of proceedings index (0-3)	..	..	..	..	..	..	..	..	3	3	3
Albania	Cost to build a warehouse (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Albania	Cost to enforce a contract (% of claim)	38.7	38.7	38.7	38.7	38.7	35.7	35.7	35.7	35.7	34.9	34.9
Albania	Cost to export (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Albania	Cost to get electricity (% of income per capita)	..	..	..	..	614.5	614.9	585.6	573.7	543.3	474	491.4
Albania	Cost to import (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Albania	Cost to register property (% of property value)	17.4	16.2	15.2	14.4	13.1	13.9	12	11.4	11.1	9.9	10.2
Albania	Cost to start a business (% of income per capita)	31.3	22.5	46.1	42.5	32.2	31.8	29.3	22.4	21.2	10.1	10.4
Albania	Credit: Strength of legal rights index (0=weak to 10=strong)	..	..	..	..	..	..	..	..	..	..	..
Albania	Creditor participation index (0-4)	..	..	..	..	..	..	..	..	2	2	2
Albania	Depth of credit information index (0=low to 6=high)	..	..	..	..	..	..	..	..	..	..	..
Albania	Ease of doing business index (1=easiest to 185=most difficult)	..	..	..	..	..	..	..	..	..	62	97
Albania	Ease of shareholder suits index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Albania	Extent of conflict of interest regulation index (0-10)	..	..	..	..	..	..	..	..	7	7	7.7
Albania	Extent of corporate transparency index (0-9)	..	..	..	..	..	..	..	..	..	..	..
Albania	Extent of director liability index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Albania	Extent of disclosure index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Albania	Extent of shareholder governance index (0-10)	..	..	..	..	..	..	..	..	7	7	7
Albania	Extent of shareholder rights index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Albania	Labor tax and contributions (%)	..	..	..	..	..	..	..	..	..	..	..
Albania	Management of debtor's assets index (0-6)	..	..	..	..	..	..	..	..	5	5	5
Albania	Minimum paid-in capital required to start a business (% of income per capita)	39.9	36.7	34.3	32.3	0	0	0	0	0	0	0
Albania	Other taxes (%)	..	..	..	..	..	..	..	..	..	..	..
Albania	Outcome (0 as piecemeal sale and 1 as going concern)	..	..	..	..	..	..	0	0	0	0	0
Albania	Private credit bureau coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Albania	Procedures required to build a warehouse (number)	21	21	21	21	21	21	..	..	..	19	..
Albania	Procedures required to connect to electricity (number)	..	..	..	..	6	6	6	6	6	6	6
Albania	Procedures required to enforce a contract (number)	..	..	..	..	..	..	..	..	..	..	..
Albania	Procedures required to register property (number)	6	6	6	6	6	6	6	6	6	6	6
Albania	Procedures required to start a business (number)	12	12	11	8	7	7	7	6	6	6	6
Albania	Profit tax (%)	..	..	..	..	..	..	..	..	..	..	..
Albania	Public credit registry coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Albania	Reorganization proceedings index (0-3)	..	..	..	..	..	..	..	..	3	3	3
Albania	Resolving Insolvency: cost (% of estate)	10	10	10	10	10	10	10	10	10	10	10
Albania	Resolving Insolvency: recovery rate (cents on the dollar)	40	39.1	36.8	38.7	38.7	38.9	40.2	39.6	40.7	41.5	42.3
Albania	Strength of governance structure index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Albania	Strength of insolvency framework index (0-16)	..	..	..	..	..	..	..	..	13	13	13
Albania	Strength of investor protection index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Albania	Tax payments (number)	45	44	44	44	44	44	44	44	42	34	34
Albania	Time required to build a warehouse (days)	321	321	320	320	320	320	..	..	..	228	..
Albania	Time required to connect to electricity (days)	..	..	..	..	177	177	177	177	177	177	177
Albania	Time required to enforce a contract (days)	390	390	390	390	390	390	390	450	525	525	525
Albania	Time required to register property (days)	42	42	42	42	42	42	33	33	33	22	22
Albania	Time required to start a business (days)	41	39	37	10	7	7	6.5	5.5	5.5	5.5	5.5
Albania	Time to prepare and pay taxes (hours)	364	364	364	368	368	360	371	357	357	357	357
Albania	Time to resolve insolvency (years)	..	..	..	..	..	..	..	..	..	2	2
Albania	Total tax rate (% of profit)	..	..	..	..	..	..	..	..	..	..	..
Albania	Trade: Cost to export (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Albania	Trade: Cost to import (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Albania	Trade: Documents to export (number)	..	..	..	..	..	..	..	..	..	..	..
Albania	Trade: Documents to import (number)	..	..	..	..	..	..	..	..	..	..	..
Albania	Trade: Time to export (day)	..	..	..	..	..	..	..	..	..	..	..
Albania	Trade: Time to import (days)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Commencement of proceedings index (0-3)	..	..	..	..	..	..	..	..	3	3	3
Algeria	Cost to build a warehouse (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Cost to enforce a contract (% of claim)	21.9	21.9	21.9	21.9	21.9	21.9	21.9	21.9	21.9	19.9	19.9
Algeria	Cost to export (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Cost to get electricity (% of income per capita)	..	..	..	..	1599	1777.3	1581.5	1492.1	1565.2	1320.5	1295.5
Algeria	Cost to import (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Cost to register property (% of property value)	7.5	7.5	7.5	7.5	7.1	7.1	7.1	7.1	7.1	7.1	7.1
Algeria	Cost to start a business (% of income per capita)	12.4	13.4	13.2	10.8	12.1	12.9	12.1	12.1	12.4	11	10.9
Algeria	Credit: Strength of legal rights index (0=weak to 10=strong)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Creditor participation index (0-4)	..	..	..	..	..	..	..	..	1	1	1
Algeria	Depth of credit information index (0=low to 6=high)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Ease of doing business index (1=easiest to 185=most difficult)	..	..	..	..	..	..	..	..	..	161	163
Algeria	Ease of shareholder suits index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Extent of conflict of interest regulation index (0-10)	..	..	..	..	..	..	..	..	3	3	3
Algeria	Extent of corporate transparency index (0-9)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Extent of director liability index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Extent of disclosure index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Extent of shareholder governance index (0-10)	..	..	..	..	..	..	..	..	3.7	3.7	3.7
Algeria	Extent of shareholder rights index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Labor tax and contributions (%)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Management of debtor's assets index (0-6)	..	..	..	..	..	..	..	..	2	2	2
Algeria	Minimum paid-in capital required to start a business (% of income per capita)	55.1	46	45.2	36.6	31	34.4	30.6	27.2	28.6	24.1	23.6
Algeria	Other taxes (%)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Outcome (0 as piecemeal sale and 1 as going concern)	..	..	..	..	..	..	0	0	0	0	0
Algeria	Private credit bureau coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Procedures required to build a warehouse (number)	18	18	18	18	18	18	18	18	18	18	17
Algeria	Procedures required to connect to electricity (number)	..	..	..	..	5	5	5	5	5	5	5
Algeria	Procedures required to enforce a contract (number)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Procedures required to register property (number)	14	14	14	14	10	10	10	10	10	10	10
Algeria	Procedures required to start a business (number)	13	13	13	13	13	13	13	13	13	13	12
Algeria	Profit tax (%)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Public credit registry coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Reorganization proceedings index (0-3)	..	..	..	..	..	..	..	..	0.5	0.5	0.5
Algeria	Resolving Insolvency: cost (% of estate)	7	7	7	7	7	7	7	7	7	7	7
Algeria	Resolving Insolvency: recovery rate (cents on the dollar)	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8
Algeria	Strength of governance structure index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Strength of insolvency framework index (0-16)	..	..	..	..	..	..	..	..	6.5	6.5	6.5
Algeria	Strength of investor protection index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Tax payments (number)	39	39	27	27	27	27	27	27	27	27	27
Algeria	Time required to build a warehouse (days)	205	205	205	205	205	205	205	205	205	205	204
Algeria	Time required to connect to electricity (days)	..	..	..	..	158	158	158	158	180	180	180
Algeria	Time required to enforce a contract (days)	630	630	630	630	630	630	630	630	630	630	630
Algeria	Time required to register property (days)	74	74	74	74	55	55	55	55	55	55	55
Algeria	Time required to start a business (days)	24	24	24	24	24	24	24	24	24	22	20
Algeria	Time to prepare and pay taxes (hours)	451	451	451	451	451	451	451	451	451	385	385
Algeria	Time to resolve insolvency (years)	..	..	..	..	..	..	..	..	..	1.3	1.3
Algeria	Total tax rate (% of profit)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Trade: Cost to export (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Trade: Cost to import (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Trade: Documents to export (number)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Trade: Documents to import (number)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Trade: Time to export (day)	..	..	..	..	..	..	..	..	..	..	..
Algeria	Trade: Time to import (days)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Commencement of proceedings index (0-3)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to build a warehouse (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to enforce a contract (% of claim)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to export (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to get electricity (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to import (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to register property (% of property value)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Cost to start a business (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Credit: Strength of legal rights index (0=weak to 10=strong)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Creditor participation index (0-4)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Depth of credit information index (0=low to 6=high)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Ease of doing business index (1=easiest to 185=most difficult)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Ease of shareholder suits index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Extent of conflict of interest regulation index (0-10)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Extent of corporate transparency index (0-9)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Extent of director liability index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Extent of disclosure index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Extent of shareholder governance index (0-10)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Extent of shareholder rights index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Labor tax and contributions (%)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Management of debtor's assets index (0-6)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Minimum paid-in capital required to start a business (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Other taxes (%)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Outcome (0 as piecemeal sale and 1 as going concern)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Private credit bureau coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Procedures required to build a warehouse (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Procedures required to connect to electricity (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Procedures required to enforce a contract (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Procedures required to register property (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Procedures required to start a business (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Profit tax (%)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Public credit registry coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Reorganization proceedings index (0-3)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Resolving Insolvency: cost (% of estate)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Resolving Insolvency: recovery rate (cents on the dollar)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Strength of governance structure index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Strength of insolvency framework index (0-16)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Strength of investor protection index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Tax payments (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time required to build a warehouse (days)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time required to connect to electricity (days)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time required to enforce a contract (days)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time required to register property (days)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time required to start a business (days)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time to prepare and pay taxes (hours)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Time to resolve insolvency (years)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Total tax rate (% of profit)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Trade: Cost to export (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Trade: Cost to import (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Trade: Documents to export (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Trade: Documents to import (number)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Trade: Time to export (day)	..	..	..	..	..	..	..	..	..	..	..
American Samoa	Trade: Time to import (days)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Commencement of proceedings index (0-3)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to build a warehouse (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to enforce a contract (% of claim)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to export (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to get electricity (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to import (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to register property (% of property value)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Cost to start a business (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Credit: Strength of legal rights index (0=weak to 10=strong)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Creditor participation index (0-4)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Depth of credit information index (0=low to 6=high)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Ease of doing business index (1=easiest to 185=most difficult)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Ease of shareholder suits index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Extent of conflict of interest regulation index (0-10)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Extent of corporate transparency index (0-9)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Extent of director liability index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Extent of disclosure index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Extent of shareholder governance index (0-10)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Extent of shareholder rights index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Labor tax and contributions (%)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Management of debtor's assets index (0-6)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Minimum paid-in capital required to start a business (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Other taxes (%)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Outcome (0 as piecemeal sale and 1 as going concern)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Private credit bureau coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Procedures required to build a warehouse (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Procedures required to connect to electricity (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Procedures required to enforce a contract (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Procedures required to register property (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Procedures required to start a business (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Profit tax (%)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Public credit registry coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Reorganization proceedings index (0-3)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Resolving Insolvency: cost (% of estate)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Resolving Insolvency: recovery rate (cents on the dollar)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Strength of governance structure index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Strength of insolvency framework index (0-16)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Strength of investor protection index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Tax payments (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time required to build a warehouse (days)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time required to connect to electricity (days)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time required to enforce a contract (days)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time required to register property (days)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time required to start a business (days)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time to prepare and pay taxes (hours)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Time to resolve insolvency (years)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Total tax rate (% of profit)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Trade: Cost to export (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Trade: Cost to import (US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Trade: Documents to export (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Trade: Documents to import (number)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Trade: Time to export (day)	..	..	..	..	..	..	..	..	..	..	..
Andorra	Trade: Time to import (days)	..	..	..	..	..	..	..	..	..	..	..
Angola	Commencement of proceedings index (0-3)	..	..	..	..	..	..	..	..	2	2	2
Angola	Cost to build a warehouse (% of income per capita)	..	..	..	..	..	..	..	..	..	..	..
Angola	Cost to enforce a contract (% of claim)	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4
Angola	Cost to export (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Angola	Cost to get electricity (% of income per capita)	..	..	..	..	1099.1	1278.5	890.5	754.9	689.7	660	615
Angola	Cost to import (deflated US$ per container)	..	..	..	..	..	..	..	..	..	..	..
Angola	Cost to register property (% of property value)	11.8	11.8	11.5	11.6	11.4	11.5	4	3.1	3	3	2.9
Angola	Cost to start a business (% of income per capita)	653.8	498.2	343.7	196.8	151.1	226.6	163.1	143.1	130.1	118.8	22.5
Angola	Credit: Strength of legal rights index (0=weak to 10=strong)	..	..	..	..	..	..	..	..	..	..	..
Angola	Creditor participation index (0-4)	..	..	..	..	..	..	..	..	0	0	0
Angola	Depth of credit information index (0=low to 6=high)	..	..	..	..	..	..	..	..	..	..	..
Angola	Ease of doing business index (1=easiest to 185=most difficult)	..	..	..	..	..	..	..	..	..	183	181
Angola	Ease of shareholder suits index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Angola	Extent of conflict of interest regulation index (0-10)	..	..	..	..	..	..	..	..	5.3	5.3	5.3
Angola	Extent of corporate transparency index (0-9)	..	..	..	..	..	..	..	..	..	..	..
Angola	Extent of director liability index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Angola	Extent of disclosure index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Angola	Extent of shareholder governance index (0-10)	..	..	..	..	..	..	..	..	6	6	6
Angola	Extent of shareholder rights index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Angola	Labor tax and contributions (%)	..	..	..	..	..	..	..	..	..	..	..
Angola	Management of debtor's assets index (0-6)	..	..	..	..	..	..	..	..	4	4	4
Angola	Minimum paid-in capital required to start a business (% of income per capita)	100.1	74.1	50.5	39.1	29	28.7	25.3	24.6	21.8	20	18.9
Angola	Other taxes (%)	..	..	..	..	..	..	..	..	..	..	..
Angola	Outcome (0 as piecemeal sale and 1 as going concern)	..	..	..	..	..	..	..	..	..	..	..
Angola	Private credit bureau coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Angola	Procedures required to build a warehouse (number)	12	12	12	10	10	10	10	10	10	10	10
Angola	Procedures required to connect to electricity (number)	..	..	..	..	9	9	9	7	7	7	7
Angola	Procedures required to enforce a contract (number)	..	..	..	..	..	..	..	..	..	..	..
Angola	Procedures required to register property (number)	7	7	7	7	7	7	7	7	7	7	7
Angola	Procedures required to start a business (number)	12	12	12	8	8	8	8	8	8	8	8
Angola	Profit tax (%)	..	..	..	..	..	..	..	..	..	..	..
Angola	Public credit registry coverage (% of adults)	..	..	..	..	..	..	..	..	..	..	..
Angola	Reorganization proceedings index (0-3)	..	..	..	..	..	..	..	..	0	0	0
Angola	Resolving Insolvency: cost (% of estate)	..	..	..	..	..	..	..	..	..	..	..
Angola	Resolving Insolvency: recovery rate (cents on the dollar)	0	0	0	0	0	0	0	0	0	0	0
Angola	Strength of governance structure index (0-10.5)	..	..	..	..	..	..	..	..	..	..	..
Angola	Strength of insolvency framework index (0-16)	..	..	..	..	..	..	..	..	0	0	0
Angola	Strength of investor protection index (0 to 10)	..	..	..	..	..	..	..	..	..	..	..
Angola	Tax payments (number)	30	30	30	30	30	30	30	30	30	30	30
Angola	Time required to build a warehouse (days)	283	283	283	273	265	203	203	203	203	203	203
Angola	Time required to connect to electricity (days)	..	..	..	..	159	159	159	145	145	145	145
Angola	Time required to enforce a contract (days)	1011	1011	1011	1190	1250	1296	1296	1296	1296	1296	1296
Angola	Time required to register property (days)	335	335	335	335	190	190	190	190	190	190	190
Angola	Time required to start a business (days)	83	83	83	68	68	66	66	66	66	66	36
Angola	Time to prepare and pay taxes (hours)	272	272	272	272	272	282	282	282	282	282	282
Angola	Time to resolve insolvency (years)	..	..	..	..	..	..	..	..	..	..	..
